COMPACTNESS,CIRCULARITY,DISTANCE CIRCULARITY,RADIUS RATIO,PR.AXIS ASPECT RATIO,MAX.LENGTH ASPECT RATIO,SCATTER RATIO,ELONGATEDNESS,PR.AXIS RECTANGULARITY,MAX.LENGTH RECTANGULARITY,SCALED VARIANCE ALONG MAJOR AXIS,SCALED VARIANCE ALONG MINOR AXIS,SCALED RADIUS OF GYRATION,SKEWNESS ABOUT MAJOR AXIS,SKEWNESS ABOUT MINOR AXIS,KURTOSIS ABOUT MINOR AXIS,KURTOSIS ABOUT MAJOR AXIS,HOLLOWS RATIO
0.23913043478260865,0.5384615384615383,0.48611111111111094,0.2139737991266376,0.18681318681318682,0.07547169811320756,0.27450980392156854,0.48571428571428554,0.16666666666666674,0.38571428571428545,0.23684210526315785,0.20383693045563547,0.47169811320754707,0.21052631578947367,0.0,0.07317073170731708,0.3000000000000007,0.36666666666666714
0.28260869565217384,0.1153846153846152,0.5138888888888888,0.26637554585152845,0.1428571428571429,0.09433962264150944,0.24836601307189543,0.5428571428571427,0.16666666666666674,0.1428571428571428,0.231578947368421,0.17625899280575538,0.1383647798742138,0.09210526315789469,0.0,0.7804878048780488,0.666666666666667,0.7333333333333334
0.34782608695652173,0.3846153846153846,0.5138888888888888,0.18777292576419213,0.07692307692307687,0.11320754716981132,0.20915032679738554,0.5714285714285714,0.16666666666666674,0.40000000000000013,0.17368421052631577,0.1486810551558753,0.4088050314465408,0.06578947368421051,0.5909090909090909,0.12195121951219512,0.6000000000000005,0.666666666666667
0.5434782608695654,0.6153846153846154,0.6111111111111109,0.5021834061135371,0.29670329670329676,0.09433962264150944,0.5098039215686274,0.22857142857142854,0.41666666666666674,0.514285714285714,0.41052631578947374,0.44844124700239807,0.628930817610063,0.19736842105263153,0.18181818181818182,0.17073170731707318,0.6333333333333337,0.4666666666666668
0.19565217391304346,0.3076923076923077,0.41666666666666663,0.222707423580786,0.18681318681318682,0.09433962264150944,0.23529411764705876,0.5428571428571427,0.16666666666666674,0.2857142857142856,0.22105263157894728,0.17266187050359713,0.270440251572327,0.17105263157894735,0.2272727272727273,0.41463414634146345,0.36666666666666714,0.4666666666666668
0.26086956521739135,0.26923076923076916,0.36111111111111105,0.13973799126637554,0.1208791208791209,0.07547169811320756,0.196078431372549,0.6285714285714286,0.16666666666666674,0.27142857142857135,0.17894736842105263,0.1330935251798561,0.3459119496855345,0.23684210526315785,0.09090909090909091,0.5365853658536586,0.20000000000000018,0.16666666666666696
0.4130434782608696,0.46153846153846145,0.4722222222222221,0.36244541484716153,0.29670329670329676,0.09433962264150944,0.2941176470588236,0.4285714285714286,0.16666666666666674,0.357142857142857,0.2578947368421052,0.2290167865707434,0.46540880503144644,0.14473684210526316,0.36363636363636365,0.14634146341463417,0.6333333333333337,0.666666666666667
0.34782608695652173,0.46153846153846145,0.5138888888888888,0.3668122270742358,0.18681318681318682,0.1320754716981132,0.3202614379084967,0.4285714285714286,0.25,0.4714285714285713,0.3157894736842105,0.24700239808153476,0.4088050314465408,0.09210526315789469,0.18181818181818182,0.04878048780487805,0.6000000000000005,0.666666666666667
1.0,0.8076923076923077,0.9166666666666665,0.5065502183406113,0.19780219780219777,0.18867924528301888,0.6601307189542482,0.1428571428571428,0.5833333333333335,0.7,0.48947368421052617,0.5887290167865707,0.7735849056603774,0.09210526315789469,0.9090909090909092,0.024390243902439025,0.5333333333333341,0.7000000000000002
0.7391304347826089,0.8076923076923077,0.9444444444444444,0.5414847161572053,0.23076923076923073,0.18867924528301888,0.6928104575163399,0.1428571428571428,0.6666666666666665,0.7428571428571427,0.48947368421052617,0.618705035971223,0.7232704402515724,0.10526315789473684,0.5909090909090909,0.6097560975609756,0.4666666666666668,0.7666666666666666
0.4782608695652173,0.3846153846153846,0.43055555555555547,0.24017467248908297,0.18681318681318682,0.07547169811320756,0.21568627450980393,0.5428571428571427,0.16666666666666674,0.3285714285714285,0.20526315789473681,0.16546762589928057,0.3899371069182389,0.10526315789473684,0.36363636363636365,0.0975609756097561,0.6333333333333337,0.6333333333333337
0.36956521739130443,0.3076923076923077,0.43055555555555547,0.2838427947598253,0.23076923076923073,0.09433962264150944,0.24836601307189543,0.5142857142857142,0.16666666666666674,0.2857142857142856,0.23684210526315785,0.18225419664268586,0.3018867924528301,0.1578947368421052,0.13636363636363635,0.43902439024390244,0.5333333333333341,0.5333333333333332
0.5,0.846153846153846,0.8055555555555554,0.24890829694323147,0.07692307692307687,0.1509433962264151,0.673202614379085,0.1428571428571428,0.5833333333333335,0.8142857142857143,0.5052631578947367,0.5983213429256594,0.7044025157232705,0.22368421052631582,0.13636363636363635,0.14634146341463417,0.3000000000000007,0.40000000000000036
0.5217391304347827,0.15384615384615374,0.5,0.2838427947598253,0.1428571428571429,0.11320754716981132,0.3202614379084967,0.4285714285714286,0.25,0.18571428571428572,0.31052631578947365,0.24820143884892085,0.16981132075471694,0.17105263157894735,0.0,0.0,0.40000000000000036,0.36666666666666714
0.7173913043478262,0.6153846153846154,0.9305555555555554,0.39301310043668125,0.10989010989010983,0.16981132075471697,0.6666666666666667,0.1428571428571428,0.5833333333333335,0.6142857142857141,0.49473684210526303,0.5827338129496402,0.39622641509433953,0.10526315789473684,0.0,0.951219512195122,0.5333333333333341,0.833333333333333
0.652173913043478,0.8846153846153848,0.8333333333333333,0.35371179039301315,0.13186813186813184,0.16981132075471697,0.6797385620915033,0.1428571428571428,0.5833333333333335,0.7857142857142858,0.46842105263157896,0.5995203836930455,0.6918238993710693,0.21052631578947367,0.6818181818181819,0.2682926829268293,0.3333333333333339,0.43333333333333357
0.5,0.5,0.41666666666666663,0.39301310043668125,0.25274725274725274,0.07547169811320756,0.3594771241830066,0.37142857142857144,0.25,0.4285714285714286,0.2789473684210526,0.2913669064748201,0.3899371069182389,0.13157894736842102,0.7727272727272727,0.24390243902439024,0.8000000000000007,0.7333333333333334
0.26086956521739135,0.3846153846153846,0.33333333333333326,0.10480349344978168,0.09890109890109888,0.11320754716981132,0.24836601307189543,0.5714285714285714,0.16666666666666674,0.3714285714285712,0.19999999999999996,0.16786570743405274,0.40251572327044016,0.3026315789473685,0.4090909090909091,0.34146341463414637,0.13333333333333375,0.09999999999999964
0.3913043478260869,0.1923076923076923,0.48611111111111094,0.13973799126637554,0.06593406593406592,0.07547169811320756,0.20915032679738554,0.5999999999999999,0.16666666666666674,0.18571428571428572,0.1842105263157895,0.14508393285371704,0.2515723270440251,0.13157894736842102,0.045454545454545456,0.17073170731707318,0.3333333333333339,0.33333333333333304
