attr1,attr2,attr3,attr4,attr5,attr6
0.023551009521646602,0.06369426567022611,0.035982008390205864,0.16089308919205164,0.03233393234996249,0.6715789540883892
0.034099134122407004,0.2499999986501188,0.026986506458936396,0.11688469055263011,0.03795298877612721,0.5715789520156718
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.024238132517191997,0.02308917101298271,0.005997001509222312,0.23300225762988475,0.19224858049135582,0.7610526397898176
0.0,0.0,0.0,0.0,0.0,0.0
0.07936008433458615,0.632165594471317,0.017991004261615734,0.2577519385500892,0.018510641097127165,0.642105271012403
0.026142145074480122,0.01592356596759613,0.022488755327019667,0.0,0.0,0.0
0.024353527215944616,0.05573248268642805,0.03148425759085313,0.1451469650662375,0.0434883431382359,0.836842106608606
0.031822711564522654,0.00318471175364593,0.035982008390205864,0.0,0.0,0.0
0.09834251083325149,0.004777069430310518,0.0014992503773055797,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.017204300811553257,0.011942674475697093,0.010494752641139044,0.0,0.0,0.0
0.0435614998164941,0.11066878923428623,0.029985007213547552,0.10646802395573536,0.0,0.7168421289939546
0.01591397834358656,0.003980891491899036,0.03448275801290029,0.15092054333824603,0.0,0.9800000037308915
0.030364542075081043,0.06130573185499166,0.017991004261615734,0.0,0.0,0.0
0.022596380632130746,0.01114649653728561,0.017991004261615734,0.266069119442341,0.0,0.6231579008531768
0.01553632300976699,0.04140127259565489,0.14392803322825945,0.23207364187865187,0.0,0.4610526370261943
0.0,0.0,0.0,0.0,0.0,0.0
0.031172304898222845,0.04219745053406637,0.026986506458936396,0.17647771434390308,0.0,0.7042105396757263
0.0,0.0,0.0,0.0,0.0,0.0
0.05421977391284349,0.16799362959737885,0.010494752641139044,0.16937177097201053,0.05823236276353787,0.6442105335957551
0.0,0.0,0.0,0.0,0.0,0.0
0.08762654069741294,0.004777069430310518,0.002998500754611156,0.0,0.0,0.0
0.026498819608031826,0.07802547666092008,0.07646176957514844,0.13275193843048017,0.03663295642785478,0.7126315761910178
0.017907159633355728,0.00875796092220954,0.02548725608163082,0.28500484495486583,0.0,0.5442105315230376
0.0,0.0,0.0,0.0,0.0,0.0
0.021883031565027338,0.015127388029184646,0.013493253063186203,0.10876938098565117,0.0,0.7031579101113148
0.0,0.0,0.0,0.0,0.0,0.0
0.028880146662721096,0.18471337530322807,0.013493253063186203,0.12100290769057362,0.0,0.6684210584860967
0.010674009773966792,0.00318471175364593,0.05697151400504795,0.24442829711997116,0.030552849130379617,0.4547368458216092
0.031639129175096335,0.1289808908169584,0.013493253063186203,0.1793443196964327,0.0,0.7821052656233376
0.01737739295567864,0.036624203165344385,0.07046476607054215,0.21325904681626828,0.014433909110400702,0.6821052842777948
0.03776553864627891,0.14012738735424402,0.01949025461564183,0.1764373391219763,0.0,0.7368421252630633
0.028061893284612366,0.13694267380075648,0.023988005704325244,0.14252261104526848,0.051179383953783755,0.6884210616642634
0.0,0.0,0.0,0.0,0.0,0.0
0.015950694821471822,0.009554138860621036,0.023988005704325244,0.20078327069352964,0.03677154620491236,0.6642105333193926
0.0,0.0,0.0,0.0,0.0,0.0
0.0272174138906855,0.03503184548867979,0.013493253063186203,0.15003230089519556,0.0,0.8010526323280347
0.02289535779462952,0.07882165495929988,0.03898050914481702,0.12491925158949987,0.06216364629080809,0.6210526382698247
0.024463676705340286,0.06608280128530218,0.10044977361665369,0.0,0.0,0.0
0.03426698114388192,0.18630573118005106,0.00749625188652789,0.15172803725118733,0.16360442748182227,0.6810526547133833
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0186886965335792,0.07245222821229311,0.044977510654039335,0.12762435509745024,0.07265803798766936,0.5442105315230376
0.06148964055978368,0.7834394927615796,0.004497751131916736,0.0,0.0,0.0
0.019375819368098277,0.05891719623991559,0.06896551768862055,0.15172803725118733,0.0,0.5610526356443827
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.027998950883808767,0.026273884566470257,0.028485756836241976,0.3051114375501841,0.02290297316188709,0.7494736800360007
0.034177812510493996,0.06687897976366615,0.011994002685880625,0.1617813316351021,0.0,0.785263154316572
0.0300445840194146,0.05175159119452902,0.00749625188652789,0.21253230239030835,0.0,0.7336842020245378
0.016711250921427428,0.01592356596759613,0.008995502263833468,0.15947997556205848,0.16926327596834326,0.6231579008531768
0.01644374502126365,0.014331210090773164,0.028485756836241976,0.0,0.0,0.0
